bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
519,129,NDP250155Y,3,53.1,1,IL
520,129,NDP250155Y,4,106.2,2,ND
521,129,NDP250155Y,5,106.2,2,NY
522,130,NDP250156Y,3,181.8,3,IL
523,130,NDP250156Y,4,121.2,2,ND
524,131,NDP250157Y,2,143.4,2,IA
525,131,NDP250157Y,4,143.4,2,ND
526,131,NDP250157Y,5,143.4,2,NY
527,132,NDP250158Y,1,58.2,1,AL
528,132,NDP250158Y,2,58.2,1,IA
529,132,NDP250158Y,3,116.4,2,IL
530,132,NDP250158Y,4,116.4,2,ND
531,132,NDP250158Y,5,58.2,1,NY
532,133,NDP250159Y,2,201.6,3,IA
533,133,NDP250159Y,3,67.2,1,IL
534,133,NDP250159Y,4,134.4,2,ND
535,133,NDP250159Y,5,67.2,1,NY
536,134,NDP250160Y,1,67.5,1,AL
537,134,NDP250160Y,2,270,4,IA
538,134,NDP250160Y,3,135,2,IL
539,134,NDP250160Y,4,67.5,1,ND
540,134,NDP250160Y,5,202.5,3,NY
541,135,NDP250161Y,1,259.2,4,AL
542,135,NDP250161Y,2,64.8,1,IA
543,135,NDP250161Y,3,64.8,1,IL
544,135,NDP250161Y,4,129.6,2,ND
545,136,NDP250162Y,1,207,3,AL
546,136,NDP250162Y,2,69,1,IA
547,136,NDP250162Y,3,69,1,IL
548,137,NDP250163Y,1,132,2,AL
549,137,NDP250163Y,2,132,2,IA
550,137,NDP250163Y,3,132,2,IL
551,137,NDP250163Y,4,66,1,ND
552,137,NDP250163Y,5,132,2,NY
553,138,NDP250164Y,1,64.8,1,AL
554,138,NDP250164Y,2,324,5,IA
555,138,NDP250164Y,3,64.8,1,IL
556,138,NDP250164Y,4,194.4,3,ND
557,138,NDP250164Y,5,259.2,4,NY
558,139,NDP250165Y,1,76.2,1,AL
559,139,NDP250165Y,2,152.4,2,IA
560,139,NDP250165Y,3,152.4,2,IL
561,139,NDP250165Y,4,152.4,2,ND
