sn,Pea,Oat,combo2,category,Replication,Location,Present on field PlotNumber,Row,Column,original on T3 PlotNumber,plot_number,changed,type of change
189,NDP250036Y,IL23-1619,NDP250036Y+IL23-1619,unique_combos,Rep 0,1,189,5,29,189,1189,TRUE,
190,NDP250080Y,IL23-3655,NDP250080Y+IL23-3655,across_loc,Rep 0,1,190,5,30,190,1190,TRUE,
191,NDP250124Y,IL23-739,NDP250124Y+IL23-739,unique_combos,Rep 0,1,191,5,31,191,1191,TRUE,
192,NDP250098Y,IL23-524,NDP250098Y+IL23-524,across_loc,Rep 0,1,192,5,32,192,1192,TRUE,
193,NDP250027G,IL23-268,NDP250027G+IL23-268,unique_combos,Rep 0,1,193,5,33,128,1193,FALSE,field_row
194,NDP170247Y,IL23-923,NDP170247Y+IL23-923,unique_combos,Rep 0,1,194,5,34,194,1194,TRUE,
195,NDP250042Y,IL23-652,NDP250042Y+IL23-652,unique_combos,Rep 0,1,195,5,35,195,1195,TRUE,
196,NDP250152Y,IL23-3312,NDP250152Y+IL23-3312,across_loc,Rep 0,1,196,5,36,196,1196,TRUE,
197,NDP150231Y,IL23-1165,NDP150231Y+IL23-1165,unique_combos,Rep 0,1,197,5,37,197,1197,TRUE,
198,NDP250173Y,IL23-1613,NDP250173Y+IL23-1613,unique_combos,Rep 0,1,198,5,38,198,1198,TRUE,
199,NDP170111G,IL23-524,NDP170111G+IL23-524,across_loc,Rep 0,1,199,5,39,199,1199,TRUE,
200,NDP250169Y,IL21-7822,NDP250169Y+IL21-7822,unique_combos,Rep 0,1,200,5,40,200,1200,TRUE,
201,NDP250179Y,IL23-1815,NDP250179Y+IL23-1815,across_loc,Rep 0,1,201,6,40,201,1201,TRUE,
202,NDP170031G,IL23-3754,NDP170031G+IL23-3754,unique_combos,Rep 0,1,202,6,39,202,1202,TRUE,
203,NDP170328G,IL23-3842,NDP170328G+IL23-3842,unique_combos,Rep 0,1,203,6,38,203,1203,TRUE,
204,NDP170185Y,IL23-268,NDP170185Y+IL23-268,unique_combos,Rep 0,1,204,6,37,204,1204,TRUE,
205,NDP250097Y,IL23-1617,NDP250097Y+IL23-1617,within_loc,Rep 1,1,205,6,36,205,1205,TRUE,
206,NDP250084Y,IL23-4555,NDP250084Y+IL23-4555,unique_combos,Rep 0,1,206,6,35,206,1206,TRUE,
207,NDP250138G,IL23-612,NDP250138G+IL23-612,unique_combos,Rep 0,1,207,6,34,207,1207,TRUE,
208,NDP250141G,IL22-2250,NDP250141G+IL22-2250,unique_combos,Rep 0,1,208,6,33,193,1208,FALSE,field_row
209,NDP250070Y,IL23-1450,NDP250070Y+IL23-1450,within_loc,Rep 2,1,209,6,32,209,1209,TRUE,
210,NDP250096Y,IL23-652,NDP250096Y+IL23-652,unique_combos,Rep 0,1,210,6,31,210,1210,TRUE,
211,NDP250052Y,IL21-4039,NDP250052Y+IL21-4039,within_loc,Rep 2,1,211,6,30,211,1211,TRUE,
212,NDP250107G,IL23-376,NDP250107G+IL23-376,unique_combos,Rep 0,1,212,6,29,212,1212,TRUE,
213,NDP250040Y,IL23-4546,NDP250040Y+IL23-4546,unique_combos,Rep 0,1,213,6,28,213,1213,TRUE,
214,NDP170011G,IL23-906,NDP170011G+IL23-906,unique_combos,Rep 0,1,214,6,27,214,1214,TRUE,
215,NDP250162Y,IL23-2134,NDP250162Y+IL23-2134,unique_combos,Rep 0,1,215,6,26,215,1215,TRUE,
216,ND VICTORY,IL22-1256,ND VICTORY+IL22-1256,unique_combos,Rep 0,1,216,6,25,216,1216,TRUE,
