"bulk_pack","accessionOat","Location","g_oat_per_location","nPlots","state","oatEntry"
366,"IL23-1413",3,24,1,"IL",147
367,"IL23-1414",2,48,2,"IA",148
368,"IL23-1414",4,24,1,"ND",148
369,"IL23-1414",5,48,2,"NY",148
370,"IL23-1421",2,24,1,"IA",149
371,"IL23-1421",3,48,2,"IL",149
372,"IL23-1421",4,48,2,"ND",149
373,"IL23-1421",5,24,1,"NY",149
374,"IL23-1422",2,72,3,"IA",150
375,"IL23-1422",4,48,2,"ND",150
376,"IL23-1422",5,24,1,"NY",150
377,"IL23-1423",1,48,2,"AL",151
378,"IL23-1423",2,24,1,"IA",151
379,"IL23-1423",3,72,3,"IL",151
380,"IL23-1423",4,24,1,"ND",151
381,"IL23-1423",5,24,1,"NY",151
382,"IL23-1424",1,24,1,"AL",152
383,"IL23-1424",2,24,1,"IA",152
384,"IL23-1424",4,48,2,"ND",152
385,"IL23-1431",1,48,2,"AL",153
386,"IL23-1431",3,48,2,"IL",153
387,"IL23-1432",4,72,3,"ND",154
388,"IL23-1432",5,24,1,"NY",154
389,"IL23-1450",1,72,3,"AL",155
390,"IL23-1450",2,144,6,"IA",155
391,"IL23-1450",3,24,1,"IL",155
392,"IL23-1450",4,48,2,"ND",155
393,"IL23-1459",1,72,3,"AL",156
394,"IL23-1459",3,24,1,"IL",156
395,"IL23-1459",4,48,2,"ND",156
396,"IL23-1462",1,24,1,"AL",157
397,"IL23-1462",2,72,3,"IA",157
398,"IL23-1462",3,120,5,"IL",157
399,"IL23-1462",4,24,1,"ND",157
400,"IL23-1462",5,24,1,"NY",157
401,"IL23-1531",2,48,2,"IA",158
402,"IL23-1531",3,24,1,"IL",158
403,"IL23-1531",4,24,1,"ND",158
404,"IL23-1547",1,24,1,"AL",159
405,"IL23-1547",2,48,2,"IA",159
406,"IL23-1547",3,24,1,"IL",159
407,"IL23-1547",4,96,4,"ND",159
408,"IL23-1547",5,48,2,"NY",159
409,"IL23-1556",1,24,1,"AL",160
410,"IL23-1556",2,48,2,"IA",160
411,"IL23-1556",3,48,2,"IL",160
412,"IL23-1556",5,24,1,"NY",160
413,"IL23-1608",1,96,4,"AL",161
414,"IL23-1608",2,96,4,"IA",161
415,"IL23-1608",3,24,1,"IL",161
416,"IL23-1608",4,48,2,"ND",161
417,"IL23-1608",5,72,3,"NY",161
418,"IL23-1610",1,24,1,"AL",162
419,"IL23-1610",2,72,3,"IA",162
420,"IL23-1610",3,24,1,"IL",162
421,"IL23-1610",4,48,2,"ND",162
422,"IL23-1610",5,24,1,"NY",162
423,"IL23-1613",1,48,2,"AL",163
424,"IL23-1613",2,72,3,"IA",163
425,"IL23-1613",3,48,2,"IL",163
426,"IL23-1613",4,72,3,"ND",163
427,"IL23-1613",5,24,1,"NY",163
428,"IL23-1614",2,72,3,"IA",164
429,"IL23-1614",3,24,1,"IL",164
430,"IL23-1614",4,24,1,"ND",164
431,"IL23-1614",5,72,3,"NY",164
432,"IL23-1617",1,96,4,"AL",165
433,"IL23-1617",4,24,1,"ND",165
434,"IL23-1617",5,24,1,"NY",165
435,"IL23-1619",1,48,2,"AL",166
436,"IL23-1619",3,120,5,"IL",166
437,"IL23-1619",4,24,1,"ND",166
438,"IL23-1619",5,96,4,"NY",166
439,"IL23-1621",1,72,3,"AL",167
440,"IL23-1621",3,48,2,"IL",167
441,"IL23-1621",4,24,1,"ND",167
442,"IL23-1621",5,24,1,"NY",167
443,"IL23-1623",1,72,3,"AL",168
444,"IL23-1623",2,48,2,"IA",168
445,"IL23-1623",3,24,1,"IL",168
446,"IL23-1623",4,48,2,"ND",168
447,"IL23-1623",5,48,2,"NY",168
448,"IL23-1628",1,48,2,"AL",169
449,"IL23-1628",2,24,1,"IA",169
450,"IL23-1628",3,48,2,"IL",169
451,"IL23-1628",5,24,1,"NY",169
452,"IL23-1631",1,24,1,"AL",170
453,"IL23-1631",2,24,1,"IA",170
454,"IL23-1631",3,72,3,"IL",170
455,"IL23-1631",5,24,1,"NY",170
456,"IL23-1632",1,72,3,"AL",171
457,"IL23-1632",2,24,1,"IA",171
458,"IL23-1632",5,24,1,"NY",171
459,"IL23-1638",2,48,2,"IA",172
460,"IL23-1638",3,24,1,"IL",172
461,"IL23-1638",5,72,3,"NY",172
462,"IL23-1644",1,24,1,"AL",173
463,"IL23-1644",2,96,4,"IA",173
464,"IL23-1644",3,48,2,"IL",173
465,"IL23-1644",4,24,1,"ND",173
466,"IL23-1644",5,72,3,"NY",173
467,"IL23-1650",1,72,3,"AL",174
468,"IL23-1650",3,96,4,"IL",174
469,"IL23-1650",4,48,2,"ND",174
470,"IL23-1650",5,48,2,"NY",174
471,"IL23-1651",1,48,2,"AL",175
472,"IL23-1651",2,24,1,"IA",175
473,"IL23-1651",3,24,1,"IL",175
474,"IL23-1651",4,24,1,"ND",175
475,"IL23-1653",1,24,1,"AL",176
476,"IL23-1653",3,48,2,"IL",176
477,"IL23-1653",4,24,1,"ND",176
478,"IL23-1655",1,48,2,"AL",177
479,"IL23-1655",2,48,2,"IA",177
480,"IL23-1655",3,48,2,"IL",177
481,"IL23-1655",4,72,3,"ND",177
482,"IL23-1655",5,24,1,"NY",177
483,"IL23-1657",1,48,2,"AL",178
484,"IL23-1657",2,48,2,"IA",178
485,"IL23-1657",3,24,1,"IL",178
486,"IL23-1657",5,48,2,"NY",178
487,"IL23-1660",1,96,4,"AL",179
488,"IL23-1660",3,24,1,"IL",179
489,"IL23-1660",4,24,1,"ND",179
490,"IL23-1663",1,24,1,"AL",180
491,"IL23-1663",2,48,2,"IA",180
492,"IL23-1663",4,24,1,"ND",180
493,"IL23-1663",5,24,1,"NY",180
494,"IL23-1666",2,48,2,"IA",181
495,"IL23-1666",4,72,3,"ND",181
496,"IL23-1666",5,72,3,"NY",181
497,"IL23-1668",3,96,4,"IL",182
498,"IL23-1668",4,24,1,"ND",182
499,"IL23-1668",5,48,2,"NY",182
500,"IL23-1669",1,96,4,"AL",183
501,"IL23-1669",2,24,1,"IA",183
502,"IL23-1669",4,24,1,"ND",183
503,"IL23-1669",5,72,3,"NY",183
504,"IL23-1753",1,24,1,"AL",184
505,"IL23-1753",2,24,1,"IA",184
506,"IL23-1753",4,24,1,"ND",184
507,"IL23-1753",5,48,2,"NY",184
508,"IL23-1764",1,48,2,"AL",185
509,"IL23-1764",2,24,1,"IA",185
510,"IL23-1764",4,24,1,"ND",185
511,"IL23-1775",1,48,2,"AL",186
512,"IL23-1775",2,48,2,"IA",186
513,"IL23-1775",3,24,1,"IL",186
514,"IL23-1775",4,24,1,"ND",186
515,"IL23-1775",5,72,3,"NY",186
516,"IL23-1806",1,24,1,"AL",187
517,"IL23-1806",2,48,2,"IA",187
518,"IL23-1806",3,120,5,"IL",187
519,"IL23-1806",4,24,1,"ND",187
520,"IL23-1806",5,24,1,"NY",187
521,"IL23-1815",1,96,4,"AL",188
522,"IL23-1815",2,120,5,"IA",188
523,"IL23-1815",3,72,3,"IL",188
524,"IL23-1815",4,72,3,"ND",188
525,"IL23-1815",5,96,4,"NY",188
526,"IL23-1819",2,24,1,"IA",189
527,"IL23-1819",3,24,1,"IL",189
528,"IL23-1842",1,48,2,"AL",190
529,"IL23-1842",3,96,4,"IL",190
530,"IL23-1842",4,96,4,"ND",190
531,"IL23-1847",2,72,3,"IA",191
532,"IL23-1847",3,48,2,"IL",191
533,"IL23-1847",4,24,1,"ND",191
534,"IL23-1847",5,24,1,"NY",191
535,"IL23-1859",1,24,1,"AL",192
536,"IL23-1859",2,72,3,"IA",192
537,"IL23-1859",3,48,2,"IL",192
538,"IL23-1859",5,24,1,"NY",192
539,"IL23-1947",1,24,1,"AL",193
540,"IL23-1947",4,24,1,"ND",193
541,"IL23-1947",5,24,1,"NY",193
542,"IL23-1959",1,24,1,"AL",194
543,"IL23-1959",2,72,3,"IA",194
544,"IL23-1959",3,24,1,"IL",194
545,"IL23-1959",4,24,1,"ND",194
546,"IL23-2010",1,24,1,"AL",195
547,"IL23-2010",2,48,2,"IA",195
