bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location
637,160,NDP250186G,1,121.8
638,160,NDP250186G,2,121.8
639,160,NDP250186G,3,60.9
640,160,NDP250186G,4,121.8
641,161,NDP250187G,1,117.6
642,161,NDP250187G,2,176.4
643,161,NDP250187G,3,235.2
644,161,NDP250187G,4,117.6
645,161,NDP250187G,5,117.6
646,162,NDP250188G,2,110.4
647,162,NDP250188G,4,165.6
648,162,NDP250188G,5,110.4
649,163,NDP250189G,2,142.7
650,163,NDP250189G,3,71.4
651,163,NDP250189G,5,214.1
652,164,ND DAWN,1,67.6
653,164,ND DAWN,2,405.5
654,164,ND DAWN,3,67.6
655,164,ND DAWN,4,67.6
656,164,ND DAWN,5,67.6
657,165,ND VICTORY,1,148.5
658,165,ND VICTORY,2,198.0
659,165,ND VICTORY,3,247.5
660,165,ND VICTORY,4,148.5
661,165,ND VICTORY,5,99.0
662,166,NDP120083Y,2,442.8
663,166,NDP120083Y,3,369.0
664,166,NDP120083Y,5,221.4
665,167,NDP120181Y,1,234.0
666,167,NDP120181Y,3,78.0
667,167,NDP120181Y,4,234.0
668,167,NDP120181Y,5,156.0
669,168,NDP121711R,1,225.0
670,168,NDP121711R,2,75.0
671,168,NDP121711R,4,300.0
672,168,NDP121711R,5,150.0
673,169,NDP121714R,1,142.2
674,169,NDP121714R,2,284.3
675,169,NDP121714R,3,142.2
676,169,NDP121714R,4,213.3
677,169,NDP121714R,5,142.2
678,170,NDP140295G,1,354.0
679,170,NDP140295G,2,70.8
680,170,NDP140295G,3,141.6
681,170,NDP140295G,4,70.8
682,171,NDP140510Y,1,112.2
683,171,NDP140510Y,2,56.1
684,171,NDP140510Y,3,112.2
685,171,NDP140510Y,4,56.1
686,172,NDP150070G,1,196.2
687,172,NDP150070G,2,65.4
688,172,NDP150070G,3,65.4
689,173,NDP150084Y,2,106.2
690,173,NDP150084Y,3,212.4
691,173,NDP150084Y,4,106.2
692,173,NDP150084Y,5,212.4
693,174,NDP150106G,2,244.8
694,174,NDP150106G,3,122.4
695,174,NDP150106G,4,244.8
696,174,NDP150106G,5,61.2
697,175,NDP150119G,1,272.4
698,175,NDP150119G,2,68.1
699,175,NDP150119G,4,136.2
700,175,NDP150119G,5,68.1
701,176,NDP150179Y,2,115.8
702,176,NDP150179Y,3,289.5
703,176,NDP150179Y,4,57.9
704,176,NDP150179Y,5,115.8
705,177,NDP150210Y,1,75.0
706,177,NDP150210Y,2,75.0
707,177,NDP150210Y,3,75.0
708,177,NDP150210Y,4,225.0
709,177,NDP150210Y,5,150.0
710,178,NDP150218Y,1,204.3
711,178,NDP150218Y,2,68.1
712,178,NDP150218Y,5,68.1
713,179,NDP150221G,2,78.3
714,179,NDP150221G,3,156.6
715,179,NDP150221G,4,234.9
716,179,NDP150221G,5,391.5
717,180,NDP150223G,1,150.0
718,180,NDP150223G,2,150.0
719,180,NDP150223G,3,75.0
720,180,NDP150223G,4,75.0
721,180,NDP150223G,5,225.0
722,181,NDP150228Y,1,170.4
723,181,NDP150228Y,2,85.2
724,181,NDP150228Y,4,426.0
725,181,NDP150228Y,5,85.2
726,182,NDP150231Y,1,62.0
727,182,NDP150231Y,2,123.9
728,182,NDP150231Y,3,123.9
729,182,NDP150231Y,4,123.9
730,182,NDP150231Y,5,123.9
731,183,NDP150232Y,1,280.8
732,183,NDP150232Y,2,187.2
733,183,NDP150232Y,3,374.4
734,183,NDP150232Y,4,280.8
735,183,NDP150232Y,5,187.2
736,184,NDP150338Y,1,145.8
737,184,NDP150338Y,2,218.7
738,184,NDP150338Y,3,218.7
739,184,NDP150338Y,4,72.9
740,185,NDP150412G,1,225.6
741,185,NDP150412G,2,169.2
742,185,NDP150412G,4,56.4
743,185,NDP150412G,5,56.4
744,186,NDP150476G,2,223.6
745,186,NDP150476G,3,149.1
746,186,NDP150476G,4,372.6
747,186,NDP150476G,5,298.1
748,187,NDP160034Y,1,211.5
749,187,NDP160034Y,4,70.5
750,187,NDP160034Y,5,211.5
751,188,NDP160129G,1,211.5
752,188,NDP160129G,2,70.5
753,188,NDP160129G,4,70.5
754,188,NDP160129G,5,70.5
755,189,NDP160153Y,1,68.4
756,189,NDP160153Y,2,136.8
757,189,NDP160153Y,3,273.6
758,189,NDP160153Y,4,68.4
759,189,NDP160153Y,5,136.8
760,190,NDP160188Y,1,141.0
761,190,NDP160188Y,2,211.5
762,190,NDP160188Y,3,70.5
763,190,NDP160188Y,4,70.5
764,190,NDP160188Y,5,141.0
765,191,NDP170001G,1,105.6
766,191,NDP170001G,2,105.6
767,191,NDP170001G,3,211.2
768,191,NDP170001G,4,52.8
769,191,NDP170001G,5,105.6
770,192,NDP170004G,2,54.6
771,192,NDP170004G,3,109.2
772,192,NDP170004G,4,109.2
773,192,NDP170004G,5,54.6
774,193,NDP170006G,1,178.2
775,193,NDP170006G,2,118.8
776,193,NDP170006G,5,118.8
777,194,NDP170008G,1,129.8
778,194,NDP170008G,2,64.9
779,194,NDP170008G,3,129.8
780,194,NDP170008G,4,194.7
781,194,NDP170008G,5,194.7
782,195,NDP170011G,1,180.0
783,195,NDP170011G,2,300.0
784,195,NDP170011G,3,60.0
