observationunit_name,Plot score - 1-9 Rating,Plot size - feet,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,,,,,,
B4I_2025_IA_2093,5,104.52,8,7/3/2025,6/9/2025,6/9/2025,7/4/2025,183,159,159,184,,,,,,1/1/2025
B4I_2025_IA_2129,7,104.52,6,7/2/2025,6/8/2025,6/9/2025,7/4/2025,182,158,159,184,,,,,,1/1/2025
B4I_2025_IA_2238,7,104.52,5,7/3/2025,6/7/2025,6/9/2025,7/4/2025,183,157,159,184,,,,,,1/1/2025
B4I_2025_IA_2008,7,104.52,1,7/2/2025,6/6/2025,6/9/2025,7/4/2025,182,156,159,184,,,,,,1/1/2025
B4I_2025_IA_2371,9,104.52,6,7/3/2025,6/6/2025,6/9/2025,7/4/2025,183,156,159,184,,,,,,1/1/2025
B4I_2025_IA_2154,7,104.52,4,7/4/2025,6/8/2025,6/8/2025,7/4/2025,184,158,158,184,,,,,,1/1/2025
B4I_2025_IA_2055,7,104.52,5,7/3/2025,6/7/2025,6/8/2025,7/4/2025,183,157,158,184,,,,,,1/1/2025
B4I_2025_IA_2206,5,104.52,2,7/3/2025,6/5/2025,6/8/2025,7/4/2025,183,155,158,184,,,,,,1/1/2025
B4I_2025_IA_2367,5,104.52,8,7/3/2025,6/5/2025,6/8/2025,7/4/2025,183,155,158,184,,,,,,1/1/2025
B4I_2025_IA_2132,7,104.52,5,6/29/2025,6/2/2025,6/8/2025,7/4/2025,179,152,158,184,,,,,,1/1/2025
B4I_2025_IA_2111,5,104.52,2,7/2/2025,6/8/2025,6/7/2025,7/4/2025,182,158,157,184,,,,,,1/1/2025
B4I_2025_IA_2125,7,104.52,3,7/5/2025,6/8/2025,6/7/2025,7/4/2025,185,158,157,184,,,,,,1/1/2025
B4I_2025_IA_2121,7,104.52,5,7/3/2025,6/8/2025,6/7/2025,7/4/2025,183,158,157,184,,,,,,1/1/2025
B4I_2025_IA_2014,7,104.52,0,7/4/2025,6/7/2025,6/7/2025,7/4/2025,184,157,157,184,,,,,,1/1/2025
B4I_2025_IA_2102,5,104.52,1,7/3/2025,6/7/2025,6/7/2025,7/4/2025,183,157,157,184,,,,,,1/1/2025
B4I_2025_IA_2104,5,104.52,7,7/3/2025,6/7/2025,6/7/2025,7/4/2025,183,157,157,184,,,,,,1/1/2025
B4I_2025_IA_2243,5,104.52,2,7/4/2025,6/7/2025,6/7/2025,7/4/2025,184,157,157,184,,,,,,1/1/2025
B4I_2025_IA_2119,5,104.52,3,7/3/2025,6/6/2025,6/7/2025,7/4/2025,183,156,157,184,,,,,,1/1/2025
B4I_2025_IA_2147,5,104.52,2,7/3/2025,6/6/2025,6/7/2025,7/4/2025,183,156,157,184,,,,,,1/1/2025
B4I_2025_IA_2173,3,104.52,3,7/1/2025,6/6/2025,6/7/2025,7/4/2025,181,156,157,184,,,,,,1/1/2025
B4I_2025_IA_2299,7,104.52,9,7/3/2025,6/6/2025,6/7/2025,7/4/2025,183,156,157,184,,,,,,1/1/2025
B4I_2025_IA_2162,5,104.52,0,7/1/2025,6/5/2025,6/7/2025,7/4/2025,181,155,157,184,,,,,,1/1/2025
B4I_2025_IA_2307,7,104.52,4,7/2/2025,6/5/2025,6/7/2025,7/4/2025,182,155,157,184,,,,,,1/1/2025
B4I_2025_IA_2319,7,104.52,8,7/3/2025,6/5/2025,6/7/2025,7/4/2025,183,155,157,184,,,,,,1/1/2025
B4I_2025_IA_2196,9,104.52,7,7/1/2025,6/4/2025,6/7/2025,7/4/2025,181,154,157,184,,,,,,1/1/2025
B4I_2025_IA_2250,9,104.52,8,6/30/2025,6/4/2025,6/7/2025,7/4/2025,180,154,157,184,,,,,,1/1/2025
B4I_2025_IA_2283,5,104.52,4,7/2/2025,6/4/2025,6/7/2025,7/4/2025,182,154,157,184,,,,,,1/1/2025
B4I_2025_IA_2126,7,104.52,3,7/3/2025,6/2/2025,6/7/2025,7/4/2025,183,152,157,184,,,,,,1/1/2025
B4I_2025_IA_2323,9,104.52,6,7/2/2025,6/2/2025,6/7/2025,7/4/2025,182,152,157,184,,,,,,1/1/2025
B4I_2025_IA_2179,7,104.52,7,7/4/2025,6/8/2025,6/6/2025,7/4/2025,184,158,156,184,,,,,,1/1/2025
B4I_2025_IA_2073,7,104.52,5,7/2/2025,6/7/2025,6/6/2025,7/4/2025,182,157,156,184,,,,,,1/1/2025
B4I_2025_IA_2087,9,104.52,3,7/3/2025,6/7/2025,6/6/2025,7/4/2025,183,157,156,184,,,,,,1/1/2025
B4I_2025_IA_2308,5,104.52,7,7/5/2025,6/7/2025,6/6/2025,7/4/2025,185,157,156,184,,,,,,1/1/2025
B4I_2025_IA_2029,7,104.52,0,7/5/2025,6/6/2025,6/6/2025,7/4/2025,185,156,156,184,,,,,,1/1/2025
B4I_2025_IA_2068,9,104.52,5,7/3/2025,6/5/2025,6/6/2025,7/4/2025,183,155,156,184,,,,,,1/1/2025
B4I_2025_IA_2164,1,104.52,0,7/4/2025,6/5/2025,6/6/2025,7/4/2025,184,155,156,184,,,,,,1/1/2025
B4I_2025_IA_2022,5,104.52,2,7/3/2025,6/4/2025,6/6/2025,7/4/2025,183,154,156,184,,,,,,1/1/2025
B4I_2025_IA_2245,3,104.52,3,6/30/2025,6/4/2025,6/6/2025,7/4/2025,180,154,156,184,,,,,,1/1/2025
B4I_2025_IA_2302,9,104.52,6,7/2/2025,6/3/2025,6/6/2025,7/4/2025,182,153,156,184,,,,,,1/1/2025
B4I_2025_IA_2265,9,104.52,2,7/1/2025,6/1/2025,6/6/2025,7/4/2025,181,151,156,184,,,,,,1/1/2025
B4I_2025_IA_2019,7,104.52,1,7/5/2025,6/8/2025,6/5/2025,7/4/2025,185,158,155,184,,,,,,1/1/2025
B4I_2025_IA_2174,7,104.52,7,6/30/2025,5/31/2025,6/4/2025,7/2/2025,180,150,154,182,,,,,,1/1/2025
B4I_2025_IA_2279,7,104.52,7,7/4/2025,6/8/2025,6/5/2025,7/4/2025,184,158,155,184,,,,,,1/1/2025
B4I_2025_IA_2108,7,104.52,5,7/3/2025,6/7/2025,6/5/2025,7/4/2025,183,157,155,184,,,,,,1/1/2025
B4I_2025_IA_2120,7,104.52,3,7/3/2025,6/7/2025,6/5/2025,7/4/2025,183,157,155,184,,,,,,1/1/2025
B4I_2025_IA_2144,3,104.52,2,7/5/2025,6/7/2025,6/5/2025,7/4/2025,185,157,155,184,,,,,,1/1/2025
B4I_2025_IA_2239,7,104.52,8,7/5/2025,6/7/2025,6/5/2025,7/4/2025,185,157,155,184,,,,,,1/1/2025
B4I_2025_IA_2241,5,104.52,4,7/3/2025,6/7/2025,6/5/2025,7/4/2025,183,157,155,184,,,,,,1/1/2025
B4I_2025_IA_2293,7,104.52,7,7/2/2025,6/7/2025,6/5/2025,7/4/2025,182,157,155,184,,,,,,1/1/2025
