consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
18,IL24-7478,24,7478,2,24,48,1,1,2,1,2,7,288,70,18,IL24-7478,IA,120 g,70  ( IA--18 ),IL24-7478,B4i-26 Oat seed ~120 g
18,IL24-7478,24,7478,2,24,48,1,1,2,1,2,7,288,71,18,IL24-7478,ND,120 g,71  ( ND--18 ),IL24-7478,B4i-26 Oat seed ~120 g
18,IL24-7478,24,7478,2,24,48,1,1,2,1,2,7,288,72,18,IL24-7478,NY,120 g,72  ( NY--18 ),IL24-7478,B4i-26 Oat seed ~120 g
19,IL24-1836,24,1836,2,24,48,2,2,2,1,1,8,312,73,19,IL24-1836,AL,120 g,73  ( AL--19 ),IL24-1836,B4i-26 Oat seed ~120 g
19,IL24-1836,24,1836,2,24,48,2,2,2,1,1,8,312,74,19,IL24-1836,IA,120 g,74  ( IA--19 ),IL24-1836,B4i-26 Oat seed ~120 g
19,IL24-1836,24,1836,2,24,48,2,2,2,1,1,8,312,75,19,IL24-1836,ND,120 g,75  ( ND--19 ),IL24-1836,B4i-26 Oat seed ~120 g
19,IL24-1836,24,1836,2,24,48,2,2,2,1,1,8,312,76,19,IL24-1836,NY,120 g,76  ( NY--19 ),IL24-1836,B4i-26 Oat seed ~120 g
20,IL24-6455,24,6455,3,24,72,2,2,2,1,3,10,360,77,20,IL24-6455,AL,120 g,77  ( AL--20 ),IL24-6455,B4i-26 Oat seed ~120 g
20,IL24-6455,24,6455,3,24,72,2,2,2,1,3,10,360,78,20,IL24-6455,IA,120 g,78  ( IA--20 ),IL24-6455,B4i-26 Oat seed ~120 g
20,IL24-6455,24,6455,3,24,72,2,2,2,1,3,10,360,79,20,IL24-6455,ND,120 g,79  ( ND--20 ),IL24-6455,B4i-26 Oat seed ~120 g
20,IL24-6455,24,6455,3,24,72,2,2,2,1,3,10,360,80,20,IL24-6455,NY,120 g,80  ( NY--20 ),IL24-6455,B4i-26 Oat seed ~120 g
21,IL24-2566,24,2566,2,24,48,1,1,1,2,1,6,264,81,21,IL24-2566,AL,120 g,81  ( AL--21 ),IL24-2566,B4i-26 Oat seed ~120 g
21,IL24-2566,24,2566,2,24,48,1,1,1,2,1,6,264,82,21,IL24-2566,IA,120 g,82  ( IA--21 ),IL24-2566,B4i-26 Oat seed ~120 g
21,IL24-2566,24,2566,2,24,48,1,1,1,2,1,6,264,83,21,IL24-2566,ND,120 g,83  ( ND--21 ),IL24-2566,B4i-26 Oat seed ~120 g
21,IL24-2566,24,2566,2,24,48,1,1,1,2,1,6,264,84,21,IL24-2566,NY,120 g,84  ( NY--21 ),IL24-2566,B4i-26 Oat seed ~120 g
22,IL24-5519,24,5519,2,24,48,2,2,1,1,1,7,288,85,22,IL24-5519,AL,120 g,85  ( AL--22 ),IL24-5519,B4i-26 Oat seed ~120 g
22,IL24-5519,24,5519,2,24,48,2,2,1,1,1,7,288,86,22,IL24-5519,IA,120 g,86  ( IA--22 ),IL24-5519,B4i-26 Oat seed ~120 g
22,IL24-5519,24,5519,2,24,48,2,2,1,1,1,7,288,87,22,IL24-5519,ND,120 g,87  ( ND--22 ),IL24-5519,B4i-26 Oat seed ~120 g
22,IL24-5519,24,5519,2,24,48,2,2,1,1,1,7,288,88,22,IL24-5519,NY,120 g,88  ( NY--22 ),IL24-5519,B4i-26 Oat seed ~120 g
23,IL24-6468,24,6468,3,24,72,1,1,2,2,3,9,336,89,23,IL24-6468,AL,120 g,89  ( AL--23 ),IL24-6468,B4i-26 Oat seed ~120 g
23,IL24-6468,24,6468,3,24,72,1,1,2,2,3,9,336,90,23,IL24-6468,IA,120 g,90  ( IA--23 ),IL24-6468,B4i-26 Oat seed ~120 g
23,IL24-6468,24,6468,3,24,72,1,1,2,2,3,9,336,91,23,IL24-6468,ND,120 g,91  ( ND--23 ),IL24-6468,B4i-26 Oat seed ~120 g
23,IL24-6468,24,6468,3,24,72,1,1,2,2,3,9,336,92,23,IL24-6468,NY,120 g,92  ( NY--23 ),IL24-6468,B4i-26 Oat seed ~120 g
24,IL24-2564,24,2564,3,24,72,2,3,2,3,2,12,408,93,24,IL24-2564,AL,120 g,93  ( AL--24 ),IL24-2564,B4i-26 Oat seed ~120 g
24,IL24-2564,24,2564,3,24,72,2,3,2,3,2,12,408,94,24,IL24-2564,IA,120 g,94  ( IA--24 ),IL24-2564,B4i-26 Oat seed ~120 g
24,IL24-2564,24,2564,3,24,72,2,3,2,3,2,12,408,95,24,IL24-2564,ND,120 g,95  ( ND--24 ),IL24-2564,B4i-26 Oat seed ~120 g
24,IL24-2564,24,2564,3,24,72,2,3,2,3,2,12,408,96,24,IL24-2564,NY,120 g,96  ( NY--24 ),IL24-2564,B4i-26 Oat seed ~120 g
25,IL24-6159,24,6159,3,24,72,2,3,2,2,2,11,384,97,25,IL24-6159,AL,120 g,97  ( AL--25 ),IL24-6159,B4i-26 Oat seed ~120 g
25,IL24-6159,24,6159,3,24,72,2,3,2,2,2,11,384,98,25,IL24-6159,IA,120 g,98  ( IA--25 ),IL24-6159,B4i-26 Oat seed ~120 g
25,IL24-6159,24,6159,3,24,72,2,3,2,2,2,11,384,99,25,IL24-6159,ND,120 g,99  ( ND--25 ),IL24-6159,B4i-26 Oat seed ~120 g
25,IL24-6159,24,6159,3,24,72,2,3,2,2,2,11,384,100,25,IL24-6159,NY,120 g,100  ( NY--25 ),IL24-6159,B4i-26 Oat seed ~120 g
26,IL24-3869,24,3869,2,24,48,1,2,2,1,1,7,288,101,26,IL24-3869,AL,120 g,101  ( AL--26 ),IL24-3869,B4i-26 Oat seed ~120 g
26,IL24-3869,24,3869,2,24,48,1,2,2,1,1,7,288,102,26,IL24-3869,IA,120 g,102  ( IA--26 ),IL24-3869,B4i-26 Oat seed ~120 g
26,IL24-3869,24,3869,2,24,48,1,2,2,1,1,7,288,103,26,IL24-3869,ND,120 g,103  ( ND--26 ),IL24-3869,B4i-26 Oat seed ~120 g
26,IL24-3869,24,3869,2,24,48,1,2,2,1,1,7,288,104,26,IL24-3869,NY,120 g,104  ( NY--26 ),IL24-3869,B4i-26 Oat seed ~120 g
27,IL24-2462,24,2462,2,24,48,1,1,1,2,2,7,288,105,27,IL24-2462,AL,120 g,105  ( AL--27 ),IL24-2462,B4i-26 Oat seed ~120 g
27,IL24-2462,24,2462,2,24,48,1,1,1,2,2,7,288,106,27,IL24-2462,IA,120 g,106  ( IA--27 ),IL24-2462,B4i-26 Oat seed ~120 g
27,IL24-2462,24,2462,2,24,48,1,1,1,2,2,7,288,107,27,IL24-2462,ND,120 g,107  ( ND--27 ),IL24-2462,B4i-26 Oat seed ~120 g
27,IL24-2462,24,2462,2,24,48,1,1,1,2,2,7,288,108,27,IL24-2462,NY,120 g,108  ( NY--27 ),IL24-2462,B4i-26 Oat seed ~120 g
28,IL24-3021,24,3021,3,24,72,2,2,3,1,2,10,360,109,28,IL24-3021,AL,120 g,109  ( AL--28 ),IL24-3021,B4i-26 Oat seed ~120 g
28,IL24-3021,24,3021,3,24,72,2,2,3,1,2,10,360,110,28,IL24-3021,IA,120 g,110  ( IA--28 ),IL24-3021,B4i-26 Oat seed ~120 g
